             14	         O
       Sterling	     S-PER
             is	         O
       involved	         O
            yet	         O
          again	         O
             as	         O
           Kyle	     B-PER
       Naughton	     E-PER
         brings	         O
            him	         O
           down	         O
            for	         O
              a	         O
           free	         O
           kick	         O
              .	         O
            The	         O
    19-year-old	         O
             is	         O
        playing	         O
           down	         O
            the	         O
     right-hand	         O
           side	         O
          today	         O
              .	         O

