             63	         O
            Red	    B-MISC
           Card	    I-MISC
       Paulinho	    I-MISC
            RED	    I-MISC
           CARD	    E-MISC
              !	         O
       Paulinho	     S-PER
             's	         O
            day	         O
           just	         O
           gets	         O
          worse	         O
              !	         O
            The	         O
      Brazilian	    S-MISC
          threw	         O
              a	         O
           high	         O
           foot	         O
        towards	         O
         Suarez	     S-PER
            and	         O
        referee	         O
           Moss	     S-PER
            had	         O
             no	         O
         choice	         O
            but	         O
             to	         O
           send	         O
            him	         O
            off	         O
              .	         O

