             89	         O
        BLOCKED	         O
              !	         O
         Oviedo	     S-LOC
         drives	         O
        forward	         O
        looking	         O
             to	         O
            rub	         O
           salt	         O
           into	         O
         Fulham	     S-ORG
              ;	         O
              s	         O
         wounds	         O
            and	         O
            the	         O
       defender	         O
           sees	         O
            his	         O
           shot	         O
        blocked	         O
            and	         O
            out	         O
            for	         O
              a	         O
          throw	         O
              -	         O
            in.	         O

