             12	         O
         Nearly	         O
              a	         O
          great	         O
         chance	         O
            for	         O
          Villa	     S-PER
             as	         O
     Albrighton	     S-PER
        manages	         O
             to	         O
        squeeze	         O
              a	         O
           pass	         O
             in	         O
         behind	         O
            the	         O
         United	     S-ORG
        defence	         O
              ,	         O
            but	         O
        Benteke	     S-PER
             's	         O
          first	         O
          touch	         O
             is	         O
          heavy	         O
            and	         O
         Rafael	     S-PER
         covers	         O
             to	         O
        concede	         O
              a	         O
         corner	         O
              .	         O

