             35	         O
         HOOPER	     S-ORG
              !	         O
            The	         O
         former	         O
     Scunthorpe	     S-ORG
        strikes	         O
          fires	         O
       narrowly	         O
           over	         O
            the	         O
       crossbar	         O
          after	         O
        robbing	         O
       Williams	     S-PER
             of	         O
     possession	         O
             on	         O
            the	         O
           edge	         O
             of	         O
            the	         O
          area.	         O
           Vorm	     S-LOC
           does	         O
           well	         O
             to	         O
       pressure	         O
            the	         O
        Norwich	     S-ORG
         danger	         O
            man	         O
              ,	         O
          doing	         O
           just	         O
         enough	         O
             to	         O
          force	         O
            the	         O
     Englishman	    S-MISC
             to	         O
           fire	         O
           wide	         O
             of	         O
            the	         O
         target	         O
              .	         O

